NAME,WEIGHTED_SCORE,RANK,COMM,CUST,ENV,JOBS,LEAD,PROD,WORKER
Aerospace & Defense,50.01,453.47,44.29,49.47,48.23,48.64,54.29,47.62,54.47
Automobiles & Parts,50.67,439.67,52.67,55.64,49.34,49.42,50.53,46.44,50.09
Banks,49.26,491.53,48.21,47.32,55.22,47.37,49.04,51.65,47.59
Basic Resources,49.42,470.91,54.78,48.89,37.73,45.03,56.51,51.9,51.93
Building Materials & Packaging,47.72,563.96,49.35,50.74,44.89,46.6,51.69,51.53,43.33
Capital Markets,51.61,357.38,46.99,52.38,54.3,45.83,49.99,51.95,54.84
Chemicals,48.81,495.78,55.63,50.16,38.25,44.68,50.16,48.58,52.12
Commercial Support Services,49.27,504.36,49.15,48.94,52.07,46.96,51.75,52.21,46.71
Commercial Vehicles & Machinery,49.97,468.41,52.58,51.59,53.37,44.91,54.16,50.63,46.64
Computer Services,52.89,328.47,52.34,53.29,54.83,50.42,50.0,52.3,54.37
Consumer & Diversified Finance,50.61,440.6,46.59,45.42,54.53,47.28,51.92,51.06,54.98
Energy Equipment & Services,47.61,579.2,47.29,49.34,40.93,43.4,43.26,52.02,50.89
Food,48.79,505.9,57.74,54.28,49.25,46.63,52.33,42.64,45.91
Food & Drug Retailers,50.8,403.33,59.01,54.33,54.68,59.0,56.33,44.96,40.27
Health Care Equipment & Services,51.08,415.16,47.67,45.9,55.0,47.77,50.01,59.21,51.42
Health Care Providers,52.43,372.44,48.61,46.71,53.02,55.88,52.48,67.58,47.26
Household Goods & Apparel,48.54,531.41,50.1,53.42,50.19,49.26,49.29,44.86,45.08
Industrial Goods,50.1,464.62,53.34,51.65,49.9,46.9,50.67,50.67,48.77
Insurance,49.78,479.81,46.07,49.34,50.44,47.64,47.56,52.77,51.41
Internet,55.25,243.67,41.65,50.94,52.96,57.68,47.73,56.34,66.03
Media,49.2,497.68,45.74,50.97,49.36,48.02,47.87,50.92,49.36
Oil & Gas,51.92,337.41,49.62,49.27,41.82,49.13,49.55,56.56,59.49
Personal Products,53.31,378.2,59.46,54.43,56.75,45.32,53.56,44.68,56.99
Pharmaceuticals & Biotech,53.37,286.29,51.13,50.6,57.54,54.37,46.36,49.82,58.05
Real Estate,48.49,536.06,44.18,47.84,49.66,47.85,48.73,52.84,47.88
Restaurants & Leisure,47.67,577.64,50.2,55.45,51.66,51.31,47.61,43.27,39.74
Retail,48.06,564.82,48.43,56.5,52.13,56.65,52.81,47.39,34.34
Semiconductors & Equipment,55.05,263.87,62.49,52.16,59.22,45.1,53.25,51.93,59.06
Software,52.63,358.58,48.46,48.06,54.02,53.44,47.28,51.6,58.94
Technology Hardware,53.28,317.12,53.27,53.89,52.73,48.85,50.31,50.55,57.92
Telecommunications,52.71,380.5,52.36,54.01,50.27,51.76,48.21,52.84,55.08
Transportation,50.09,459.68,51.04,52.28,49.59,51.45,56.37,52.01,44.52
Utilities,51.34,370.57,54.42,49.55,37.71,44.86,59.34,55.43,56.55
JUST_100,60.87,50.5,68.55,58.39,64.71,51.82,57.67,49.37,69.6
